 PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
  954.0    545   19.6   16.1     80  12.21      0      0  296.7  332.2  298.9
  953.0    554   23.4   16.4     65  12.46      5      0  300.7  337.5  302.9
  939.0    686   21.6   13.6     60  10.53     72      5  300.1  331.2  302.0
  925.0    820   21.2   14.2     64  11.12    140      9  301.0  334.0  303.0
  909.0    971   20.4   12.4     60  10.05    140     11  301.7  331.6  303.5
  890.0   1153   20.2   10.2     53   8.85    140     14  303.3  330.0  304.9
  880.0   1251   19.6    5.6     40   6.52    140     15  303.6  323.6  304.8
  850.0   1548   18.0    0.0     30   4.52    140     19  305.0  319.1  305.8
  840.0   1649   17.8    0.8     32   4.85    140     21  305.8  321.0  306.7
  838.0   1669   17.7    0.8     32   4.85    140     21  305.9  321.0  306.8
  754.0   2561   11.4   -0.6     43   4.88    177      5  308.5  323.9  309.4
  749.0   2617   11.4    4.4     62   7.05    180      4  309.0  331.0  310.4
  742.0   2696   10.6    6.4     75   8.19    183      3  309.0  334.3  310.5
  738.0   2741   10.2    6.9     80   8.53    185      2  309.0  335.3  310.6
  731.0   2820    9.4    7.8     90   9.16    196      3  309.0  337.2  310.7
  719.0   2958    9.4    6.7     83   8.63    215      4  310.5  337.3  312.1
  700.0   3180    8.8    6.3     84   8.63    245      6  312.2  339.2  313.8
  693.0   3263    8.2    5.7     84   8.36    246      7  312.4  338.6  314.0
  650.0   3789    5.4    3.4     87   7.57    249     12  315.0  339.1  316.5
  588.0   4598   -0.9   -1.3     97   5.95    255     21  316.9  336.1  318.0
  585.0   4639   -1.0   -1.4     97   5.94    255     21  317.2  336.4  318.4
  572.0   4818   -1.3   -1.8     96   5.90    252     21  318.9  338.1  320.0
  567.0   4888   -0.9   -3.4     83   5.28    251     21  320.2  337.5  321.2
  550.0   5131   -1.5   -6.2     70   4.40    247     22  322.2  336.9  323.1
  543.0   5232   -2.5   -4.7     85   5.00    246     22  322.2  338.8  323.2
  526.0   5483   -4.3   -9.3     68   3.61    241     22  323.0  335.2  323.7
  500.0   5880   -6.9  -13.9     57   2.63    235     23  324.6  333.6  325.1
  480.0   6198   -8.5  -17.5     48   2.03    245     22  326.4  333.6  326.8
  479.0   6214   -8.3  -21.3     34   1.47    246     22  326.8  332.1  327.1
  472.0   6328   -9.3  -29.3     18   0.72    250     22  327.0  329.7  327.1
  449.0   6713  -11.1  -49.1      3   0.10    262     20  329.4  329.8  329.4
  444.0   6798  -11.7  -49.2      3   0.10    265     20  329.7  330.1  329.7
  400.0   7590  -17.5  -50.5      4   0.09    280     28  332.2  332.6  332.2
  367.0   8228  -21.9  -50.9      5   0.10    272     33  334.6  335.0  334.6
  360.0   8370  -21.9  -56.9      3   0.05    270     35  336.4  336.6  336.4
  321.0   9204  -26.8  -59.0      3   0.04    260     42  340.8  341.0  340.8
  319.0   9249  -27.1  -59.1      3   0.04    263     45  341.0  341.2  341.0
  312.0   9409  -27.3  -58.3      4   0.05    275     56  342.9  343.1  342.9
  300.0   9690  -29.3  -56.3      6   0.06    270     55  344.0  344.2  344.0
  250.0  10960  -40.1  -56.1     16   0.08    250     54  346.3  346.7  346.3
  243.0  11153  -41.9  -56.9     18   0.07    247     56  346.4  346.8  346.4
  222.0  11758  -47.3  -57.3     31   0.07    238     64  347.2  347.5  347.2
  205.0  12279  -51.0  -61.0     29   0.05    230     70  349.4  349.7  349.4
  200.0  12440  -52.1  -62.1     29   0.04    235     64  350.1  350.3  350.1
  185.0  12938  -56.2  -68.1     21   0.02    255     56  351.4  351.5  351.4
  177.0  13221  -58.5  -71.5     17   0.01    260     57  352.0  352.1  352.1
  162.0  13772  -63.9  -77.9     13   0.01    271     58  352.0  352.0  352.0
  150.0  14240  -67.7  -82.7     10   0.00    280     59  353.3  353.3  353.3
  149.0  14280  -68.2  -82.7     11   0.00    280     59  353.1  353.1  353.1
  148.0  14321  -68.7  -82.7     12   0.00    280     58  352.9  352.9  352.9
  105.0  16331  -77.5  -94.5      5   0.00    290     21  372.5  372.5  372.5
  100.0  16610  -78.9  -95.9      5   0.00    260     21  375.0  375.0  375.0
   95.4  16877  -79.9  -96.9      5   0.00    275     15  378.2  378.2  378.2
   92.0  17082  -80.3  -97.3      5   0.00    260     11  381.3  381.3  381.3
   88.7  17289  -80.7  -97.7      5   0.00    265     18  384.5  384.5  384.5
   85.0  17530  -80.3  -97.6      4   0.00    270     27  389.9  389.9  389.9
   75.0  18238  -79.3  -97.2      4   0.00    275      9  406.2  406.2  406.2
   72.8  18407  -79.1  -97.1      4   0.00    260     13  410.2  410.2  410.2
   70.0  18630  -78.3  -97.3      3   0.00    240     18  416.6  416.6  416.6
   68.0  18797  -76.8  -95.8      4   0.00    270     20  423.3  423.3  423.3
   65.4  19023  -74.7  -93.7      4   0.00    293     13  432.6  432.6  432.6
   62.0  19333  -75.3  -95.0      3   0.00    325      3  437.9  437.9  437.9
   60.8  19447  -75.5  -95.5      3   0.00    325      3  439.9  439.9  439.9
   55.2  20014  -71.3  -94.3      2   0.00    328      5  461.8  461.8  461.8
   50.0  20600  -71.3  -98.3      1   0.00    330      6  475.1  475.1  475.1
   48.4  20792  -71.1  -98.1      1   0.00     30      4  480.0  480.0  480.0
   47.0  20969  -70.4  -97.6      1   0.00     85      3  485.7  485.7  485.7
   37.0  22407  -64.8  -93.7      1   0.00     70     22  534.4  534.4  534.4
   36.5  22488  -64.5  -93.5      1   0.00                537.3  537.3  537.3
